,Location,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price,Car_Companies,Car_model
0,Mumbai,CNG,Manual,26.6,998.0,58.16,5.0,1.75,Maruti,wagon
127,Pune,CNG,Manual,26.6,998.0,58.16,5.0,3.25,Maruti,wagon
328,Pune,CNG,Manual,26.3,998.0,67.1,5.0,1.4,Maruti,zen
440,Kochi,CNG,Manual,15.1,1196.0,73.0,5.0,4.7,Maruti,eeco
839,Delhi,CNG,Manual,26.83,796.0,38.4,5.0,2.1,Maruti,alto
893,Hyderabad,CNG,Manual,13.2,1495.0,93.7,5.0,1.9,Hyundai,accent
1135,Ahmedabad,CNG,Manual,26.3,998.0,67.1,5.0,2.0,Maruti,zen
1218,Pune,CNG,Manual,26.2,998.0,58.2,5.0,3.65,Maruti,wagon
1269,Mumbai,CNG,Manual,33.44,796.0,40.3,4.0,3.5,Maruti,alto
1323,Mumbai,CNG,Manual,15.1,1196.0,73.0,5.0,4.5,Maruti,eeco
1332,Pune,CNG,Manual,33.54,998.0,67.04,5.0,2.96,Maruti,wagon
1357,Mumbai,CNG,Manual,26.6,998.0,58.16,5.0,3.15,Maruti,wagon
1573,Mumbai,CNG,Manual,17.5,1373.0,80.46,7.0,8.35,Maruti,ertiga
1780,Mumbai,CNG,Manual,26.6,998.0,58.16,5.0,3.15,Maruti,wagon
1911,Ahmedabad,CNG,Manual,26.6,998.0,58.16,5.0,3.3,Maruti,wagon
1914,Chennai,CNG,Manual,25.0,1197.0,81.86,5.0,4.95,Hyundai,xcent
2059,Mumbai,CNG,Manual,33.54,998.0,67.04,5.0,3.05,Maruti,wagon
2110,Pune,CNG,Manual,24.6,1193.0,55.23,5.0,3.25,Tata,indigo
2228,Mumbai,CNG,Manual,17.5,1373.0,80.46,7.0,7.5,Maruti,ertiga
2323,Delhi,CNG,Manual,25.0,1197.0,81.86,5.0,5.0,Hyundai,xcent
2371,Pune,CNG,Manual,33.54,998.0,67.04,5.0,3.9,Maruti,wagon
2376,Hyderabad,CNG,Manual,26.6,998.0,58.16,5.0,2.95,Maruti,wagon
2437,Chennai,CNG,Manual,24.6,1193.0,55.23,5.0,3.25,Tata,indigo
2516,Mumbai,CNG,Manual,22.1,1586.0,85.7,5.0,3.26,Maruti,sx4
2527,Pune,CNG,Manual,17.0,1086.0,64.83090909090909,5.0,1.2,Hyundai,santro
2638,Pune,CNG,Manual,26.2,998.0,58.2,5.0,2.9,Maruti,wagon
2701,Kochi,CNG,Manual,31.79,998.0,58.33,5.0,4.58,Maruti,celerio
3008,Delhi,CNG,Manual,26.6,998.0,58.16,5.0,2.85,Maruti,wagon
3031,Mumbai,CNG,Manual,22.8,1373.0,80.9,7.0,5.8,Maruti,ertiga
3097,Pune,CNG,Manual,26.2,998.0,58.2,5.0,3.0,Maruti,wagon
3119,Kochi,CNG,Manual,32.26,998.0,58.2,4.0,4.0,Maruti,alto
3129,Delhi,CNG,Manual,33.54,998.0,67.04,5.0,3.25,Maruti,wagon
3180,Ahmedabad,CNG,Manual,20.0,1196.0,63.0,5.0,3.72,Maruti,eeco
3295,Delhi,CNG,Manual,26.6,998.0,58.16,5.0,2.8,Maruti,wagon
3455,Mumbai,CNG,Manual,26.2,998.0,58.2,5.0,3.5,Maruti,wagon
3511,Hyderabad,CNG,Manual,26.83,796.0,38.4,5.0,2.1,Maruti,alto
3553,Pune,CNG,Manual,33.44,796.0,40.3,4.0,3.0,Maruti,alto
3586,Delhi,CNG,Manual,15.1,1196.0,73.0,5.0,2.6,Maruti,eeco
3722,Kochi,CNG,Manual,22.1,1586.0,85.7,5.0,3.89,Maruti,sx4
3869,Delhi,CNG,Manual,33.44,796.0,40.3,4.0,2.1,Maruti,alto
3901,Mumbai,CNG,Manual,14.53,1798.0,138.0,5.0,3.35,Toyota,corolla
4098,Delhi,CNG,Manual,21.4,1586.0,103.3,5.0,2.65,Maruti,sx4
4141,Mumbai,CNG,Manual,33.54,998.0,67.04,5.0,2.85,Maruti,wagon
4411,Kochi,CNG,Manual,26.6,998.0,58.16,5.0,3.77,Maruti,wagon
4603,Kochi,CNG,Manual,15.1,1196.0,73.0,5.0,5.38,Maruti,eeco
4769,Kochi,CNG,Manual,33.44,796.0,40.3,4.0,3.7,Maruti,alto
4920,Pune,CNG,Manual,26.6,998.0,58.16,5.0,3.0,Maruti,wagon
5004,Kochi,CNG,Manual,15.1,1196.0,73.0,5.0,4.33,Maruti,eeco
5178,Delhi,CNG,Manual,31.79,998.0,58.33,5.0,3.8,Maruti,celerio
5655,Mumbai,CNG,Manual,26.6,998.0,58.16,5.0,3.65,Maruti,wagon
5710,Mumbai,CNG,Manual,30.46,796.0,47.3,5.0,2.15,Maruti,alto
5747,Delhi,CNG,Manual,26.6,998.0,58.16,5.0,2.95,Maruti,wagon
5876,Mumbai,CNG,Manual,17.5,1373.0,80.46,7.0,8.25,Maruti,ertiga
5881,Pune,CNG,Manual,26.6,998.0,58.16,5.0,3.7,Maruti,wagon
5902,Mumbai,CNG,Manual,26.2,998.0,58.2,5.0,2.25,Maruti,wagon
5935,Pune,CNG,Manual,32.26,998.0,58.2,4.0,3.1,Maruti,alto
1,Pune,Diesel,Manual,19.67,1582.0,126.2,5.0,12.5,Hyundai,creta
3,Chennai,Diesel,Manual,20.77,1248.0,88.76,7.0,6.0,Maruti,ertiga
6,Jaipur,Diesel,Manual,23.08,1461.0,63.1,5.0,3.5,Nissan,micra
8,Pune,Diesel,Manual,20.54,1598.0,103.6,5.0,5.2,Volkswagen,vento
9,Chennai,Diesel,Manual,22.3,1248.0,74.0,5.0,1.95,Tata,indica
12,Jaipur,Diesel,Manual,25.2,1248.0,74.0,5.0,5.6,Maruti,swift
15,Delhi,Diesel,Manual,13.5,2477.0,175.56,7.0,15.0,Mitsubishi,pajero
16,Kochi,Diesel,Manual,25.8,1498.0,98.6,5.0,5.4,Honda,amaze
17,Jaipur,Diesel,Manual,28.4,1248.0,74.0,5.0,5.99,Maruti,swift
18,Kochi,Diesel,Manual,20.45,1461.0,83.8,5.0,6.34,Renault,duster
21,Bangalore,Diesel,Manual,23.65,1248.0,88.5,5.0,8.25,Maruti,s
26,Hyderabad,Diesel,Manual,23.08,1461.0,63.1,5.0,4.25,Nissan,micra
29,Mumbai,Diesel,Manual,12.8,2494.0,102.0,7.0,4.0,Toyota,innova
30,Bangalore,Diesel,Manual,19.01,1461.0,108.45,5.0,7.75,Renault,duster
36,Kochi,Diesel,Manual,24.3,1248.0,88.5,5.0,8.63,Maruti,vitara
39,Chennai,Diesel,Manual,22.07,1199.0,73.9,5.0,5.0,Volkswagen,polo
42,Coimbatore,Diesel,Manual,25.32,1198.0,77.0,6.0,5.58,Mahindra,kuv
46,Ahmedabad,Diesel,Manual,14.9,1991.0,112.2,5.0,4.25,Hyundai,elantra
48,Jaipur,Diesel,Manual,24.4,1120.0,71.0,5.0,3.85,Hyundai,xcent
49,Jaipur,Diesel,Manual,16.55,2498.0,105.0,6.0,5.5,Mahindra,thar
51,Delhi,Diesel,Manual,22.9,1248.0,74.0,5.0,4.25,Maruti,swift
52,Kolkata,Diesel,Manual,17.8,1248.0,75.0,5.0,3.3,Maruti,swift
53,Delhi,Diesel,Manual,28.4,1248.0,74.0,5.0,3.85,Maruti,swift
60,Mumbai,Diesel,Manual,13.68,2393.0,147.8,8.0,16.5,Toyota,innova
61,Bangalore,Diesel,Manual,20.0,1399.0,68.0,5.0,2.75,Ford,figo
63,Pune,Diesel,Manual,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz,new
64,Chennai,Diesel,Manual,25.0,1396.0,69.0,5.0,2.5,Tata,indica
68,Pune,Diesel,Manual,24.52,1248.0,88.5,7.0,8.15,Maruti,ertiga
69,Mumbai,Diesel,Manual,22.1,1396.0,88.7,5.0,10.5,Hyundai,creta
71,Mumbai,Diesel,Manual,15.1,2179.0,140.0,7.0,9.65,Mahindra,xuv500
73,Kochi,Diesel,Manual,19.64,1461.0,108.5,5.0,6.92,Nissan,terrano
76,Jaipur,Diesel,Manual,17.8,1399.0,98.35133885102239,5.0,2.0,Ford,fiesta
78,Hyderabad,Diesel,Manual,12.8,2494.0,102.0,7.0,11.75,Toyota,innova
80,Jaipur,Diesel,Manual,22.9,1248.0,74.0,5.0,3.75,Maruti,swift
83,Hyderabad,Diesel,Manual,20.0,1399.0,68.0,5.0,2.8,Ford,figo
84,Jaipur,Diesel,Manual,23.2,1248.0,73.94,5.0,3.11,Maruti,ritz
91,Delhi,Diesel,Manual,13.0,2982.0,168.5,7.0,16.5,Toyota,fortuner
93,Delhi,Diesel,Manual,22.7,1498.0,89.84,5.0,5.5,Ford,ecosport
94,Delhi,Diesel,Manual,15.1,2179.0,140.0,7.0,8.1,Mahindra,xuv500
95,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,Honda,amaze
96,Kolkata,Diesel,Manual,22.07,1199.0,73.9,5.0,2.79,Volkswagen,polo
97,Ahmedabad,Diesel,Manual,16.2,1493.0,110.0,5.0,3.45,Hyundai,verna
100,Pune,Diesel,Manual,23.0,1396.0,90.0,5.0,3.8,Hyundai,i20
108,Delhi,Diesel,Manual,16.0,2179.0,140.0,7.0,5.75,Mahindra,xuv500
115,Ahmedabad,Diesel,Manual,12.99,2494.0,100.6,7.0,11.11,Toyota,innova
119,Mumbai,Diesel,Manual,24.3,1248.0,88.5,5.0,7.5,Maruti,vitara
122,Kolkata,Diesel,Manual,22.0,1582.0,126.2,5.0,10.95,Hyundai,verna
125,Kolkata,Diesel,Manual,12.05,2179.0,120.0,8.0,7.75,Mahindra,scorpio
141,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.7,Honda,amaze
144,Coimbatore,Diesel,Manual,11.5,2982.0,171.0,7.0,13.49,Toyota,fortuner
146,Chennai,Diesel,Manual,21.14,1498.0,103.52,5.0,4.75,Skoda,rapid
151,Chennai,Diesel,Manual,22.9,1248.0,74.0,5.0,6.25,Maruti,swift
156,Jaipur,Diesel,Manual,22.07,1199.0,73.9,5.0,3.5,Volkswagen,polo
160,Kochi,Diesel,Manual,26.0,1498.0,98.6,5.0,7.11,Honda,city
161,Ahmedabad,Diesel,Manual,12.99,2494.0,100.6,7.0,10.9,Toyota,innova
163,Mumbai,Diesel,Manual,15.1,2179.0,140.0,7.0,7.9,Mahindra,xuv500
164,Kochi,Diesel,Manual,22.7,1498.0,89.84,5.0,4.42,Ford,ecosport
165,Mumbai,Diesel,Manual,13.0,2982.0,168.5,7.0,13.5,Toyota,fortuner
167,Jaipur,Diesel,Manual,20.0,1399.0,68.0,5.0,2.1,Ford,figo
177,Bangalore,Diesel,Manual,22.54,1396.0,88.73,5.0,8.35,Hyundai,i20
179,Jaipur,Diesel,Manual,25.44,936.0,57.6,5.0,1.5,Chevrolet,beat
181,Chennai,Diesel,Manual,17.8,1399.0,68.0,5.0,1.45,Ford,fiesta
184,Hyderabad,Diesel,Manual,22.07,1199.0,73.9,5.0,4.2,Volkswagen,polo
185,Mumbai,Diesel,Manual,19.98,1461.0,108.5,8.0,6.75,Renault,lodgy
188,Delhi,Diesel,Manual,22.32,1582.0,126.32,5.0,4.6,Hyundai,verna
190,Kochi,Diesel,Manual,15.4,1997.0,120.0,7.0,10.31,Mahindra,scorpio
192,Chennai,Diesel,Manual,20.0,1399.0,68.0,5.0,2.6,Ford,figo
193,Mumbai,Diesel,Manual,25.47,1248.0,88.5,7.0,8.5,Maruti,ertiga
195,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,Honda,amaze
197,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.25,Honda,amaze
198,Hyderabad,Diesel,Manual,17.5,1896.0,106.0,5.0,4.5,Skoda,laura
199,Delhi,Diesel,Manual,19.87,1461.0,83.8,5.0,5.35,Renault,duster
200,Chennai,Diesel,Manual,17.45,1493.0,100.0,7.0,6.5,Mahindra,nuvosport
201,Mumbai,Diesel,Manual,24.3,1248.0,88.5,5.0,9.0,Maruti,vitara
207,Delhi,Diesel,Manual,23.59,1364.0,67.06,5.0,3.0,Toyota,etios
210,Kolkata,Diesel,Manual,27.4,1498.0,98.6,5.0,3.25,Honda,amaze
211,Jaipur,Diesel,Manual,22.32,1582.0,126.32,5.0,4.75,Hyundai,verna
212,Mumbai,Diesel,Manual,20.46,1461.0,83.8,5.0,5.95,Renault,duster
221,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,Honda,amaze
223,Hyderabad,Diesel,Manual,21.03,1461.0,65.0,5.0,3.7,Mahindra,verito
226,Coimbatore,Diesel,Manual,19.01,1461.0,108.5,5.0,8.92,Nissan,terrano
227,Delhi,Diesel,Manual,17.8,1248.0,98.35133885102239,5.0,4.1,Maruti,swift
229,Bangalore,Diesel,Manual,0.0,1498.0,99.0,,3.6,Ford,figo
230,Jaipur,Diesel,Manual,17.2,1396.0,53.5,5.0,0.85,Tata,indica
232,Mumbai,Diesel,Manual,22.07,1199.0,73.9,5.0,3.6,Volkswagen,polo
233,Hyderabad,Diesel,Manual,22.9,1248.0,74.0,5.0,6.8,Maruti,swift
234,Kolkata,Diesel,Manual,20.0,1399.0,68.05,5.0,2.5,Ford,figo
240,Mumbai,Diesel,Manual,25.44,936.0,57.6,5.0,2.65,Chevrolet,beat
241,Kochi,Diesel,Manual,22.54,1396.0,88.73,5.0,7.2,Hyundai,i20
242,Coimbatore,Diesel,Manual,12.99,2494.0,100.6,7.0,14.3,Toyota,innova
243,Chennai,Diesel,Manual,20.77,1248.0,88.76,7.0,6.9,Maruti,ertiga
244,Mumbai,Diesel,Manual,12.8,2494.0,102.0,7.0,10.75,Toyota,innova
248,Mumbai,Diesel,Manual,24.0,1120.0,70.0,5.0,4.75,Hyundai,grand
249,Chennai,Diesel,Manual,28.09,1248.0,88.5,5.0,8.45,Maruti,ciaz
250,Kolkata,Diesel,Manual,20.5,1598.0,103.6,5.0,3.5,Skoda,rapid
251,Kochi,Diesel,Manual,13.1,1493.0,82.0,5.0,1.8,Hyundai,accent
